Company;ISIN;Market;Compartment;Country of Incorporation;Date of eligibility declaration by the Issuer;Updated_Status
ATEME;FR0011992700;EURONEXT;C;France;10/04/2017;
ATENOR;BE0003837540;EURONEXT;B;Belgium;28/03/2019;
AUBAY;FR0000063737;EURONEXT;B;France;17/04/2019;
AUDIOVALLEY;BE0974334667;Euronext GROWTH*;;Belgique;30/07/2018;
AUPLATA MINING GR;FR0013410370;Euronext GROWTH*;;France;30/03/2015;
AUREA;FR0000039232;EURONEXT;C;France;28/05/2019;
AURES TECHNOLOGIES;FR0013183589;EURONEXT;C;France;08/11/2016;
AUSY;FR0000072621;EURONEXT;C;France;26/03/2015;Radiation - Delisted 23/02/2017
AVENIR TELECOM;FR0000066052;EURONEXT;C;France;08/04/2019;
AWOX;FR0011800218;EURONEXT;C;France;16/03/2016;
BAIKOWSKI;FR0013384369;Euronext GROWTH*;;France;28/12/2018;
BALYO;FR0013258399;EURONEXT;C;France;18/11/2019;
BARBARA BUI;FR0000062788;EURONEXT;C;France;26/03/2015;
BARCO;BE0003790079;EURONEXT;A;Belgium;15/10/2018;
BASSAC (ex LES NOUVEAUX CONSTRUCTEURS);FR0004023208;EURONEXT;B;France;16/03/2015;
BASTIDE LE CONFORT;FR0000035370;EURONEXT;B;France;27/03/2015;
BD MULTI MEDIA;FR0000035305;Euronext GROWTH*;;France;15/06/2015;
BE Semiconductor;NL0012866412;EURONEXT;A;Netherlands;05/11/2015;
BIGBEN INTERACTIVE;FR0000074072;EURONEXT;B;France;25/03/2019;
BILENDI;FR0004174233;Euronext GROWTH*;;France;09/02/2016;
BIOCORP;FR0012788065;Euronext GROWTH*;;France;16/04/2018;
BIOM UP SA;FR0013284080;EURONEXT;C;France;13/10/2017;Radiation - delisted 24/02/2020
BIOPHYTIS;FR0012816825;Euronext GROWTH*;;France;13/07/2015;
BIOSYNEX;FR0011005933;Euronext GROWTH*;;France;27/10/2016;
BIO-UV GROUP;FR0013345493;Euronext GROWTH*;;France;09/10/2019;
BLUE SHARK POWER;FR0013340973;Euronext Access**;;France;28/11/2018;
BLUELINEA;FR0011041011;Euronext GROWTH*;;France;03/04/2019;
BODY ONE;FR0010106039;Euronext Access**;;France;13/03/2018;
BOIRON;FR0000061129;EURONEXT;B;France;FIN ELIGIBILITE 11/10/2016;
BONE THERAPEUTICS;BE0974280126;EURONEXT;C;Belgium;28/02/2019;
BOOSTHEAT;FR0011814938;EURONEXT;C;France;09/10/2019;
BOURSE DIRECT;FR0000074254;EURONEXT;C;France;24/03/2015;
BUSINESS & DECISION;FR0000078958;EURONEXT;C;France;26/05/2016;
CAFOM;FR0010151589;EURONEXT;C;France;03/05/2019;
CANDELA INVEST;BE0974298300;Euronext GROWTH*;;Belgium;25/04/2016;
CAPELLI;FR0012969095;EURONEXT;C;France;29/03/2019;
CARBIOS;FR0011648716;Euronext GROWTH*;;France;06/04/2018;
CARMAT;FR0010907956;Euronext GROWTH*;;France;08/10/2019;
CAST;FR0000072894;EURONEXT;C;France;29/07/2015;
CBO TERRITORIA;FR0010193979;EURONEXT;C;France;01/06/2017;
CECURITY.COM;FR0010717579;Euronext Access**;;France;29/04/2015;
CEGID;FR0000124703;EURONEXT;B;France;15/04/2016;Radiation - Delisted 27/07/2017
CELL NOVO;FR0012633360;EURONEXT;C;France;24/10/2016;
CELLECTIS;FR0010425595;Euronext GROWTH*;;France;17/04/2015;
CELYAD;BE0974260896;EURONEXT;B;Belgium;17/08/2015;
CERINNOV GROUP;FR0013178712;Euronext GROWTH*;;France;16/05/2019;
CHARGEURS;FR0000130692;EURONEXT;B;France;26/03/2018;
CHAUSSERIA;FR0000060907;EURONEXT;C;France;27/07/2015;
CIOA;FR0012384907;Euronext Access**;;France;09/11/2015;
CLARANOVA;FR0013426004;EURONEXT;B;France;05/12/2018;
CLASQUIN;FR0004152882;Euronext GROWTH*;;France;17/03/2015;
CLIOBLUE;FR0011092089;Euronext Access**;;France;15/10/2018;
COFIDUR;FR0013257409;Euronext GROWTH*;;France;08/01/2020;
COGELEC;FR0013335742;EURONEXT;C;France;18/06/2018;
COGRA;FR0011071570;Euronext GROWTH*;;France;13/01/2020;
COMPAGNIE DU MONT BLANC;FR0000060428;Euronext Access**;;France;24/09/2018;
COMPAGNIE INDUSTRIELLE ET FINANCIERE D’ENTREPRISES CIFE;FR0000066219;EURONEXT;C;France;26/04/2017;
COMPAGNIE LEBON;FR0000121295;EURONEXT;B;France;06/06/2016;
COURTOIS;FR0000065393;EURONEXT;C;France;19/04/2018;
CROSSJECT;FR0011716265;Euronext GROWTH*;;France;16/05/2019;
CROSSWOOD;FR0000050395;EURONEXT;C;France;06/06/2019;
CS GROUP (ex. CS COMMUNICATION & SYSTEMES);FR0007317813;EURONEXT;C;France;01/04/2015;
CTA HOLDING;FR0000054066;Euronext Access**;;France;10/12/2018;radiation - delisted 31/12/2019
CYBERGUN;FR0013204351;Euronext GROWTH*;;France;03/05/2019;
DALENYS;BE0946620946;EURONEXT;C;Belgium;31/03/2014;radiation - delisted 26/02/2016
DALET;FR0011026749;EURONEXT;c;France;17/05/2017;
DAMARTEX;FR0000185423;Euronext GROWTH*;;France;12/09/2018;
DATBIM;FR0004177939;Euronext Access**;;France;06/09/2018;
DBT (GROUPE);FR0013066750;Euronext GROWTH*;;France;18/12/2015;
DBV TECHNOLOGIES;FR0010417345;EURONEXT;B;France;15/04/2015;
DEDALUS France (ex MEDASYS);FR0000052623;EURONEXT;C;France;27/05/2016;
DEINOVE;FR0010879056;Euronext GROWTH*;;France;25/03/2015;
DELFINGEN;FR0000054132;Euronext GROWTH*;;France;16/05/2017;
DELTA PLUS GROUP;FR0013283108;EURONEXT;B;France;22/03/2017;
DEVOTEAM;FR0000073793;EURONEXT;B;France;28/04/2015;
DIAGNOSTIC MEDICAL;FR0012202497;EURONEXT;C;France;27/03/2015;
DIGIGRAM;FR0000035784;EURONEXT;C;France;30/03/2017;
DIRECT ENERGIE;FR0004191674;Euronext GROWTH*;;France;09/04/2015;radiation - delisted 27/09/2018
DL SOFTWARE;FR0010357079;Euronext GROWTH*;;France;19/04/2016;radiation - delisted 18/07/2017
DLSI GROUPE;FR0010404368;Euronext GROWTH*;;France;02/05/2016;
DOLPHIN INTEGRATION;FR0004022754;Euronext GROWTH*;;France;30/03/2015;Radiation - Delisted 09/10/2019
DONTNOD Entertainment SA;FR0013331212 ;Euronext GROWTH*;;France;23/05/2018;
DRONE VOLT;FR0011522168;Euronext GROWTH*;;France;25/04/2017;
EASYVISTA;FR0010246322;Euronext GROWTH*;;France;18/11/2019;
ECA;FR0010099515;EURONEXT;C;France;09/01/2017;
ECOSLOPS;FR0011490648;Euronext GROWTH*;;France;11/05/2016;
EGIDE;FR0000072373;EURONEXT;C;France;18/03/2015;
EKINOPS;FR0011466069;EURONEXT;C;France;16/03/2016;
ENENSYS;FR0013330792;Euronext GROWTH*;;France;01/06/2018;
ENERTIME;FR0011915339;Euronext GROWTH*;;France;07/07/2016;
ENTREPARTICULIERS.COM;FR0010424697;Euronext GROWTH*;;France;30/03/2017;
ENVEA;FR0010278762;Euronext GROWTH*;;France;31/07/2015;
EO2 ;FR0010465534;Euronext GROWTH*;;France;09/06/2017;
EON MOTORS GROUP;FR0011612837;Euronext Access**;;France;20/10/2016;radiation - delisted 03/04/2018
EOS IMAGING;FR0011191766;EURONEXT;C;France;24/03/2016;
ERYTECH PHARMA;FR0011471135;EURONEXT;C;France;03/12/2019;
ESI GROUP;FR0004110310;EURONEXT;B;France;12/07/2018;
ESKER;FR0000035818;Euronext GROWTH*;;France;21/03/2019;
EUROBIO-SCIENTIFIC (ex Diaxonhit);FR0013240934;Euronext GROWTH*;;France;08/01/2020;
EUROGERM;FR0010452474;Euronext GROWTH*;;France;13/04/2017;
EUROMEDIS GROUPE;FR0000075343;EURONEXT;C;France;16/01/2019;
EUROPLASMA;FR0000044810;Euronext GROWTH*;;France;06/06/2017;
EUTELSAT;FR0010221234;EURONEXT;A;France;FIN ELIGIBILITE 29/07/2016;
EVOLIS;FR0004166197;Euronext GROWTH*;;France;21/03/2018;
EVS BROADCAST EQUIPMENT;BE0003820371;EURONEXT;B;Belgium;14/04/2015;
EXACOMPTA CLAIREFONTAINE;FR0000064164 ;EURONEXT;C;France;08/01/2019;
EXEL INDUSTRIES;FR0004527638;EURONEXT;B;France;03/04/2018;
EXPLOSIFS PROD.CHI;FR0000039026;EURONEXT;B;France;05/02/2018;
FERMENTALG;FR0011271600;EURONEXT;C;France;09/05/2019;
FIGEAC AERO;FR0011665280;EURONEXT;B;France;08/01/2019;
FILAE;FR0010221069;Euronext GROWTH*;;France;15/05/2019;
FLEURY MICHON;FR0000074759;EURONEXT;B;France;29/01/2015;
FOCUS HOME INTERACTIVE;FR0012419307;Euronext GROWTH*;;France;27/04/2018;
FONCIERE VOLTA;FR0000053944;EURONEXT;C;France;07/05/2019;
FOUNTAINE PAJOT;FR0010485268;Euronext GROWTH*;;France;26/03/2015;
FRANCAISE DE L ENERGIE;FR0013030152;EURONEXT;C;France;21/09/2018;
FRANCK DEVILLE;FR0012300424;Euronext Access**;;France;18/03/2015;
