ticker,Company,ISIN,Pays,Marche,Secteur,Industrie
ATEME,"ATEME SA",FR0011992700,FR,EURONEXT,Technology,"Communication Equipment"
ATI,"ACTIA Group S.A.",FR0000076655,FR,EURONEXT,"Consumer Cyclical","Auto Parts"
AUB,"Aubay Societe Anonyme",FR0000063737,FR,"Euronext GROWTH*",Technology,"Information Technology Services"
AURE,"Aurea SA",FR0000039232,FR,EURONEXT,Industrials,"Waste Management"
AURS,"AURES Technologies S.A.",FR0013183589,FR,EURONEXT,NaN,NaN
AVT,"Avenir Telecom S.A.",FR0000066052,FR,EURONEXT,Technology,"Communication Equipment"
AWOX,"AwoX S.A.",FR0011800218,FR,EURONEXT,Technology,"Consumer Electronics"
BALYO,"Balyo SA",FR0013258399,FR,EURONEXT,Industrials,"Specialty Industrial Machinery"
BAR,"Barco NV",BE0003790079,BE,EURONEXT,Technology,"Electronic Components"
BELI,"Le Belier SA",FR0000072399,FR,EURONEXT,"Consumer Cyclical","Auto Parts"
BESI,"BE Semiconductor Industries N.V.",NL0000339760,NL,EURONEXT,Technology,"Semiconductor Equipment & Materials"
BIG,"BigBen Interactive",FR0000074072,FR,EURONEXT,Technology,"Consumer Electronics"
BLC,"Bastide Le Confort Medical SA",FR0000035370,FR,EURONEXT,Healthcare,"Medical Distribution"
BND,"Business & Decision SA",FR0000078958,FR,EURONEXT,Industrials,"Specialty Business Services"
BOTHE,"Bone Therapeutics SA",BE0974280126,BE,EURONEXT,Healthcare,Biotechnology
BSD,"Bourse Direct SA",FR0000074254,FR,EURONEXT,"Financial Services","Capital Markets"
BUI,"Barbara Bui SA",FR0000062788,FR,EURONEXT,"Consumer Cyclical","Apparel Manufacturing"
BUP,"Biom'Up S.A.",FR0013284080,FR,EURONEXT,Healthcare,"Medical Instruments & Supplies"
CAFO,"Centrale d'Achat Francaise pour l'Outre-Mer Societe Anonyme",FR0010151589,FR,EURONEXT,"Consumer Cyclical","Specialty Retail"
CAND,"Candela Invest SA",BE0974298300,BE,"Euronext GROWTH*","Financial Services","Asset Management"
CAPLI,"Groupe Capelli",FR0012969095,FR,EURONEXT,"Real Estate","Real Estate—Development"
CAS,"Cast SA",FR0000072894,FR,EURONEXT,Technology,Software—Application
CBOT,"CBo Territoria Societe Anonyme",FR0010193979,FR,EURONEXT,"Real Estate","Real Estate—Diversified"
CEREN,NaN,FR0012616852,FR,EURONEXT,NaN,NaN
CHSR,Chausseria,FR0000060907,FR,EURONEXT,"Consumer Cyclical","Footwear & Accessories"
CLA,"Claranova SE",FR0004026714,FR,EURONEXT,Technology,Software—Application
CLNV,"Cellnovo Group SA",FR0012633360,FR,EURONEXT,Healthcare,"Medical Devices"
COGEC,"Cogelec SA",FR0013335742,FR,EURONEXT,Technology,"Communication Equipment"
COUR,"Courtois S.A.",FR0000065393,FR,EURONEXT,"Real Estate","Real Estate Services"
COX,"Nicox S.A.",FR0013018124,FR,EURONEXT,Healthcare,Biotechnology
CRI,"Chargeurs SA",FR0000130692,FR,EURONEXT,"Consumer Cyclical","Textile Manufacturing"
CROS,"Crosswood SA",FR0000050395,FR,EURONEXT,"Real Estate","Real Estate Services"
CYAD,"Celyad SA",BE0974260896,BE,EURONEXT,Healthcare,Biotechnology
DBV,"DBV Technologies S.A.",FR0010417345,FR,EURONEXT,Healthcare,Biotechnology
DGM,"Diagnostic Medical Systems S.A.",FR0012202497,FR,EURONEXT,Healthcare,"Medical Devices"
DIG,"Digigram S.A.",FR0000035784,FR,EURONEXT,Technology,"Electronic Components"
DLT,"Dalet S.A.",FR0011026749,FR,EURONEXT,Technology,Software—Application
DLTA,"Delta Plus Group",FR0013283108,FR,EURONEXT,"Consumer Cyclical","Footwear & Accessories"
DVT,"Devoteam SA",FR0000073793,FR,EURONEXT,Technology,"Information Technology Services"
ECASA,"ECA SA",FR0010099515,FR,EURONEXT,Industrials,"Aerospace & Defense"
EKI,"EKINOPS S.A.",FR0011466069,FR,EURONEXT,Technology,"Communication Equipment"
EMG,"Euromedis Groupe",FR0000075343,FR,EURONEXT,Healthcare,"Medical Devices"
EOS,"ACTEOS S.A.",FR0000076861,FR,EURONEXT,Technology,Software—Application
EOSI,"EOS imaging SA",FR0011191766,FR,EURONEXT,Healthcare,"Medical Devices"
ERYP,"ERYTECH Pharma S.A.",FR0011471135,FR,EURONEXT,Healthcare,Biotechnology
ESI,"ESI Group SA",FR0004110310,FR,EURONEXT,Technology,Software—Application
EVS,"EVS Broadcast Equipment S.A.",BE0003820371,BE,EURONEXT,Technology,"Communication Equipment"
EXAC,"Exacompta Clairefontaine S.A.",FR0000064164,FR,EURONEXT,"Basic Materials","Paper & Paper Products"
EXE,"Exel Industries Societe Anonyme",FR0004527638,FR,EURONEXT,Industrials,"Farm & Heavy Construction Machinery"
EXPL,"EPC Groupe",FR0000039026,FR,EURONEXT,"Basic Materials","Specialty Chemicals"
FALG,"Fermentalg Societe Anonyme",FR0011271600,FR,EURONEXT,Healthcare,Biotechnology
FGA,"Figeac Aero Societe Anonyme",FR0011665280,FR,"Euronext GROWTH*",Industrials,"Aerospace & Defense"
FLE,"Fleury Michon SA",FR0000074759,FR,EURONEXT,"Consumer Defensive","Packaged Foods"
GAM,"Gaumont SA",FR0000034894,FR,EURONEXT,"Communication Services",Entertainment
GBT,"Guerbet SA",FR0000032526,FR,EURONEXT,Healthcare,"Medical Devices"
GECP,"GECI International S.A.",FR0000079634,FR,EURONEXT,Technology,Software—Infrastructure
GENX,"Generix SA",FR0010501692,FR,EURONEXT,Technology,Software—Application
GET,"Getlink SE",FR0010533075,FR,EURONEXT,Industrials,Railroads
GID,"Egide S.A.",FR0000072373,FR,EURONEXT,Technology,"Electronic Components"
GIRO,"Signaux Girod S.A.",FR0000060790,FR,EURONEXT,Industrials,Railroads
GKTX,"Genkyotex SA",FR0011790542,FR,EURONEXT,Healthcare,Biotechnology
GLO,"GL Events SA",FR0000066672,FR,EURONEXT,Industrials,"Specialty Business Services"
GNFT,"Genfit SA",FR0004163111,FR,"Euronext GROWTH*",Healthcare,Biotechnology
GOE,"Groupe Gorge SA",FR0000062671,FR,EURONEXT,Technology,"Scientific & Technical Instruments"
GRVO,"Graines Voltz",FR0000065971,FR,EURONEXT,"Basic Materials","Agricultural Inputs"
GV,"Genomic Vision Societe Anonyme",FR0011799907,FR,EURONEXT,Healthcare,"Diagnostics & Research"
HF,"HF Company Societe Anonyme",FR0000038531,FR,EURONEXT,Technology,"Communication Equipment"
HIPAY,"HiPay Group SA",FR0012821916,FR,EURONEXT,Technology,Software—Infrastructure
HOP,"Hopscotch Global PR Group",FR0000065278,FR,EURONEXT,"Communication Services","Advertising Agencies"
IDIP,IDI,FR0000051393,FR,EURONEXT,"Financial Services","Asset Management"
INF,"Infotel SA",FR0000071797,FR,EURONEXT,Technology,"Information Technology Services"
INFE,"Compagnie Industrielle et Financiere d'Entreprises SA",FR0000066219,FR,EURONEXT,Industrials,"Engineering & Construction"
INSD,NaN,FR0010291245,FR,EURONEXT,NaN,NaN
IPH,"Innate Pharma S.A.",FR0010331421,FR,EURONEXT,Healthcare,Biotechnology
ITE,"Itesoft S.A.",FR0004026151,FR,EURONEXT,Technology,Software—Infrastructure
ITP,"Interparfums SA",FR0004024222,FR,EURONEXT,"Consumer Defensive","Household & Personal Products"
ITS,"ITS Group",FR0000073843,FR,EURONEXT,NaN,NaN
IVA,"Inventiva S.A.",FR0013233012,FR,EURONEXT,Healthcare,Biotechnology
JBOG,"Jacques Bogart S.A.",FR0012872141,FR,EURONEXT,"Consumer Defensive","Household & Personal Products"
JCQ,"Jacquet Metal Service SA",FR0000033904,FR,EURONEXT,"Basic Materials",Steel
JXR,"Archos S.A.",FR0000182479,FR,EURONEXT,Technology,"Consumer Electronics"
KAZI,"Orchestra-Premaman S.A.",FR0013190410,FR,EURONEXT,"Consumer Cyclical","Apparel Manufacturing"
KEY,"Keyrus S.A.",FR0004029411,FR,EURONEXT,Technology,"Information Technology Services"
KOF,"Kaufman & Broad S.A.",FR0004007813,FR,EURONEXT,"Consumer Cyclical","Residential Construction"
LACR,"Lacroix SA",FR0000066607,FR,EURONEXT,Technology,"Scientific & Technical Instruments"
LAN,NaN,FR0004027068,FR,EURONEXT,NaN,NaN
LAT,"Latecoere S.A.",FR0000032278,FR,EURONEXT,Industrials,"Aerospace & Defense"
LBIRD,"Lumibird SA",FR0000038242,FR,EURONEXT,Healthcare,"Diagnostics & Research"
LBON,"Compagnie Lebon",FR0000121295,FR,EURONEXT,"Financial Services","Asset Management"
LDL,NaN,FR0000075442,FR,EURONEXT,NaN,NaN
LFDE,"La Francaise de l'Energie S.A.",FR0013030152,FR,EURONEXT,Energy,"Oil & Gas E&P"
LFVE,"La Fonciere Verte",FR0000039638,FR,EURONEXT,"Real Estate","Real Estate Services"
LIN,"Linedata Services S.A.",FR0004156297,FR,EURONEXT,Technology,Software—Application
