ticker,Company,ISIN,Pays,Marche,Secteur,Industrie
SWP,"Sword Group S.E.",FR0004180578,FR,EURONEXT,Technology,Software—Application
SX,"CS Communication & Systemes SA",FR0007317813,FR,EURONEXT,Industrials,"Aerospace & Defense"
TES,"Tessi SA",FR0004529147,FR,EURONEXT,Technology,"Information Technology Services"
TFF,"TFF Group",FR0013295789,FR,EURONEXT,"Consumer Cyclical","Packaging & Containers"
THEP,"Thermador Groupe SA",FR0013333432,FR,EURONEXT,Industrials,"Industrial Distribution"
TIPI,"Tipiak Societe Anonyme",FR0000066482,FR,EURONEXT,"Consumer Defensive","Packaged Foods"
TOU,"Toupargel Groupe SA",FR0000039240,FR,EURONEXT,"Consumer Defensive","Food Distribution"
TOUP,"Touax SCA",FR0000033003,FR,EURONEXT,Industrials,"Marine Shipping"
TRI,"Trigano S.A.",FR0005691656,FR,EURONEXT,"Consumer Cyclical","Recreational Vehicles"
TVLY,"Tivoly S.A.",FR0000060949,FR,EURONEXT,Industrials,"Specialty Industrial Machinery"
VETO,"Vetoquinol SA",FR0004186856,FR,EURONEXT,Healthcare,"Drug Manufacturers—Specialty & Generic"
VIRP,"Virbac SA",FR0000031577,FR,EURONEXT,Healthcare,"Drug Manufacturers—General"
VLA,"Valneva SE",FR0004056851,FR,EURONEXT,Healthcare,Biotechnology
VRAP,"Vranken-Pommery Monopole - Societe Anonyme",FR0000062796,FR,EURONEXT,"Consumer Defensive","Beverages—Wineries & Distilleries"
VTX,"Voluntis S.A.",FR0004183960,FR,EURONEXT,Healthcare,"Health Information Services"
WAVE,"Wavestone SA",FR0013357621,FR,EURONEXT,Technology,"Information Technology Services"
XIL,"Xilam Animation",FR0004034072,FR,EURONEXT,"Communication Services",Entertainment
